plz,ort,grundversorger,gv_tarif_stichtag_alt,gv_ap_stichtag_alt,gv_gp_stichtag_alt,gv_gesamtpreis_stichtag_alt,gv_tarif_stichtag_neu,gv_ap_stichtag_neu,gv_gp_stichtag_neu,gv_gesamtpreis_stichtag_neu,differenz_gv_gesamtpreis,sondertarif_stichtag_alt,sondertarif_stichtag_alt_ap,sondertarif_stichtag_alt_gp,sondertarif_stichtag_alt_gesamtpreis,sondertarif_stichtag_neu,sondertarif_stichtag_neu_ap,sondertarif_neu_gp,sondertarif_stichtag_neu_gesamtpreis,differenz_sondertarif_stichtag_alt_stichtag_neu,PLZ_FirstDigit
07937,Zeulenroda-Triebes,TEAG Thüringer Energie AG,Grundversorgung,41.93,145.72,1613.27,Grundversorgung,41.93,145.72,1613.27,0.0,SimplyFair Tarif,20.63639,117.2521,839.52575,SimplyFair Tarif,20.63639,117.2521,839.52575,0.0,0
02692,Gnaschwitz,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
04895,Burxdorf,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09634,Hirschfeld,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
08496,Neumark,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
07646,Geisenhain,TEAG Thüringer Energie AG,Grundversorgung,41.93,145.72,1613.27,Grundversorgung,41.93,145.72,1613.27,0.0,NEWfair Strom 3 ,21.66,149.55,907.65,NEWfair Strom 3 ,21.385,137.33,885.805,-21.845,0
01609,Röderaue,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,strompur,21.53782,128.037,881.8607,KlickStrom24 plus,21.32,129.81,876.01,-5.8507,0
06406,Bernburg,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.4,121.04,870.04,KlickStrom24 plus,20.07,129.81,832.26,-37.78,0
06124,Halle,EVH GmbH,Grundversorgung,35.31,128.68,1364.53,Grundversorgung,35.31,128.68,1364.53,0.0,NEWfair Strom 3 ,20.64,139.38,861.78,SimplyFair Tarif,20.10639,159.8824,863.60605,1.82605,0
01824,Gohrisch,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
01737,Kurort Hartha,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
02692,Doberschau,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
06116,Halle,EVH GmbH,Grundversorgung,35.31,128.68,1364.53,Grundversorgung,35.31,128.68,1364.53,0.0,SimplyFair Tarif,20.10639,159.8824,863.60605,SimplyFair Tarif,20.10639,159.8824,863.60605,0.0,0
08541,Mechelgrün,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
01909,Großharthau,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
09385,Lugau,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
01640,Coswig,Stadtwerke Elbtal GmbH,Grundversorgung,36.37,87.97,1360.92,Grundversorgung,31.37,87.97,1185.92,-175.0,NEWfair Strom 3 ,19.67,85.62,774.07,SimplyFair Tarif,19.13639,106.1176,775.89125,1.82125,0
07646,Waltersdorf,TEAG Thüringer Energie AG,Grundversorgung,41.93,145.72,1613.27,Grundversorgung,41.93,145.72,1613.27,0.0,NEWfair Strom 3 ,21.66,149.55,907.65,NEWfair Strom 3 ,21.385,137.33,885.805,-21.845,0
01731,Kreischa,SachsenEnergie AG,ENSO.Strom.Privat,33.57,83.77,1258.72,ENSO.Strom.Privat,33.57,83.77,1258.72,0.0,NEWfair Strom 3 ,22.95,83.72,886.97,SimplyFair Tarif,22.41639,104.2185,888.79215,1.82215,0
04209,Leipzig,Stadtwerke Leipzig GmbH,L-Strom.basis (Grundversorgung),31.35,141.18,1238.43,L-Strom.basis (Grundversorgung),29.66,154.56,1192.66,-45.77,NEWfair Strom 3 ,20.01,121.21,821.56,SimplyFair Tarif,19.47639,141.7059,823.37955,1.81955,0
06369,Arensdorf,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.4,121.04,870.04,SimplyFair Tarif,20.86639,141.5378,871.86145,1.82145,0
04425,Taucha,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09249,Taura,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
