plz;Ort;Grundversorger;Differenz GV Sondertarif;Prozentual
01067;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01069;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01097;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01099;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01108;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01108;Dresden;SachsenEnergie AG;355,17;28,22%
01109;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01127;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01129;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01139;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01156;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01157;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01159;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01169;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01187;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01187;Dresden;Freitaler Stadtwerke GmbH;419,06;31,68%
01189;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01217;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01219;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01237;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01239;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01257;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01259;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01277;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01279;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01307;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01309;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01324;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01326;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01328;Dresden;DREWAG - Stadtwerke Dresden GmbH;328,97;26,69%
01328;Dresden;SachsenEnergie AG;355,17;28,22%
01445;Radebeul;Stadtwerke Elbtal GmbH;400,58;33,78%
01454;Radeberg;ENGIE Deutschland GmbH;333,48;27,28%
01454;Radeberg;SachsenEnergie AG;369,93;29,39%
