PLZ;Ort;Grundversorger;GV_Tarif_Stichtag_alt;GV_AP_Stichtag_alt;GV_GP_Stichtag_alt;GV_Gesamtpreis_Stichtag_alt;GV_Tarif_Stichtag_neu;GV_AP_Stichtag_neu;GV_GP_Stichtag_neu;GV_Gesamtpreis_Stichtag_neu;Differenz_GV_Gesamtpreis;Sondertarif_Stichtag_alt;Sondertarif_Stichtag_alt_AP;Sondertarif_Stichtag_alt_GP;Sondertarif_Stichtag_alt_Gesamtpreis;Sondertarif_Stichtag_neu;Sondertarif_Stichtag_neu_AP;Sondertarif_neu_GP;Sondertarif_Stichtag_neu_Gesamtpreis;Differenz_Sondertarif_Stichtag_alt_Stichtag_neu
01067;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01069;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01097;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01099;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01108;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01108;Dresden;SachsenEnergie AG;ENSO-Erdgas-BASIS;10,01;174;2176;ENSO-Erdgas-BASIS;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01109;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01127;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01129;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
01139;Dresden;DREWAG - Stadtwerke Dresden GmbH;Grundversorgung Heizgas;10,01;174;2176;Grundversorgung Heizgas;10,01;174;2176;0;Knauber Erdgas Flexibel klimaneutral;7,8992;124,332;1704,172;MAX Basic Gas 12;7,82202;135,2269;1699,6309;-4,5411
